"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Aaron Hicks  CF","5","2","2","0","0","1","5",".277",".336",".403",".740","15","10","-0.168","1.66","0.063","-0.231","-0.7","3","0","2B,GDP"
"Brian Dozier  2B","5","0","0","0","0","2","5",".248",".320",".495",".815","17","13","-0.214","1.53","0.000","-0.214","-2.1","5","1",""
"Joe Mauer  1B","3","2","1","2","1","1","4",".267",".332",".374",".706","16","8","0.050","0.70","0.077","-0.027","1.8","6","1",""
"Miguel Sano  DH","4","2","2","3","0","2","4",".278",".411",".522",".933","16","10","0.211","1.05","0.255","-0.044","3.0","","","HR"
"Trevor Plouffe  3B","4","0","1","2","0","0","4",".253",".313",".453",".765","11","8","0.015","0.87","0.106","-0.091","0.2","0","1","2B,CS"
"Eddie Rosario  RF","4","0","0","0","0","1","4",".276",".302",".436",".738","14","11","-0.064","0.64","0.000","-0.064","-0.6","2","0",""
"Eduardo Escobar  SS","3","0","2","0","1","0","4",".245",".278",".388",".666","19","13","0.153","0.86","0.161","-0.009","1.1","0","2","2B"
"Eric Fryer  C","3","0","0","0","0","3","3",".167",".286",".222",".508","13","9","-0.085","1.11","0.000","-0.085","-0.9","6","0",""
"Eduardo Nunez  PH","1","0","1","0","0","0","1",".261",".296",".410",".706","3","2","0.121","2.84","0.121","0.000","0.6","","",""
"Shane Robinson  LF","3","1","1","0","0","1","4",".244",".290",".319",".608","12","10","-0.035","1.79","0.041","-0.076","0.2","1","0","SH"
"","","","","","","","","","","","","","","","","","","","","",""
"Tyler Duffey  P","","","","","","","","","","","","","","","","","","","0","1",""
"J.R. Graham  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brian Duensing  P","","","","","","","","","","","","","","","","","","","0","0",""
"Blaine Boyer  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","1","0",""
"Casey Fien  P","","","","","","","","","","","","","","","","","","","0","0",""
