"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ichiro Suzuki  RF","4","0","1","0","0","0","5",".276",".313",".376",".689","21","13","-0.071","1.17","0.036","-0.106","-0.9","1","0","SH"
"Brent Lillibridge  3B","4","0","1","1","0","1","4",".098",".119",".122",".241","11","9","0.024","1.41","0.107","-0.083","-0.1","2","1","2B"
"Robinson Cano  DH","4","1","1","0","0","1","4",".301",".382",".518",".900","13","10","-0.036","0.99","0.044","-0.080","-0.4","","","2B"
"Vernon Wells  LF","3","0","1","0","1","0","4",".240",".288",".366",".654","10","6","0.025","1.04","0.060","-0.035","0.3","3","0",""
"Brett Gardner  CF","0","0","0","0","0","0","0",".280",".349",".421",".770","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Eduardo Nunez  SS","4","0","1","1","0","0","4",".235",".289",".316",".606","14","13","0.085","1.31","0.153","-0.068","0.3","2","1","2B,CS"
"David Adams  2B","4","0","1","0","0","0","4",".192",".260",".275",".535","11","8","-0.105","1.10","0.037","-0.142","-1.1","2","4","GDP"
"Lyle Overbay  1B","4","0","0","0","0","1","4",".247",".298",".424",".722","9","7","-0.099","0.96","0.000","-0.099","-1.0","9","0",""
"Melky Mesa  CF-LF","3","0","1","0","1","0","4",".200",".273",".300",".573","16","10","-0.097","1.13","0.044","-0.141","-0.7","3","0","CS"
"Austin Romine  C","4","1","3","0","0","0","4",".193",".212",".277",".489","10","8","0.119","0.82","0.137","-0.018","1.0","4","1","2·2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Hiroki Kuroda  P","","","","","","","","","","","","","","","","","","","0","3",""
"David Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Mariano Rivera  P","","","","","","","","","","","","","","","","","","","0","0",""
