"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Adam Eaton  CF","5","2","3","0","0","0","5",".298",".362",".391",".754","14","10","0.114","0.79","0.172","-0.057","0.9","2","0","2B,CS"
"Alexei Ramirez  SS","5","1","2","0","0","1","5",".274",".307",".414",".721","20","13","0.014","0.71","0.067","-0.053","0.2","4","6",""
"Jose Abreu  1B","5","0","2","0","0","2","5",".323",".384",".602",".986","16","11","-0.024","0.70","0.046","-0.070","-0.2","10","0",""
"Conor Gillaspie  3B","4","0","1","1","0","0","4",".291",".345",".429",".773","8","6","-0.004","1.01","0.070","-0.074","-0.3","0","2",""
"Avisail Garcia  RF","4","0","2","1","0","1","4",".256",".324",".426",".750","19","12","0.084","0.77","0.112","-0.028","0.7","1","0",""
"Jordan Danks  LF","4","0","1","0","0","2","4",".202",".290",".287",".577","13","9","-0.044","0.71","0.015","-0.060","-0.4","1","0",""
"Dayan Viciedo  DH","4","0","1","0","0","0","4",".232",".277",".411",".688","17","13","-0.039","0.60","0.007","-0.045","-0.6","","",""
"Tyler Flowers  C","4","0","1","0","0","0","4",".241",".299",".391",".690","11","10","-0.040","0.57","0.010","-0.050","-0.7","7","0",""
"Marcus Semien  2B","4","0","0","0","0","1","4",".226",".284",".342",".625","15","8","-0.047","0.47","0.000","-0.047","-0.9","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"John Danks  P","","","","","","","","","","","","","","","","","","","0","2",""
"Javy Guerra  P","","","","","","","","","","","","","","","","","","","0","0",""
"Zach Putnam  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jake Petricka  P","","","","","","","","","","","","","","","","","","","0","0",""
