"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Kelly Johnson  2B","4","0","1","0","0","1","4",".256",".367",".432",".799","24","17","-0.006","0.90","0.053","-0.059","-0.2","0","2",""
"Yunel Escobar  SS","4","0","1","0","0","0","4",".255",".307",".326",".633","9","8","-0.129","1.12","0.024","-0.153","-1.0","0","8","GDP"
"Jose Bautista  RF","4","1","2","1","0","0","4",".197",".327",".418",".745","18","11","0.130","0.76","0.199","-0.069","0.6","3","1","HR,GDP"
"Edwin Encarnacion  DH","4","0","0","0","0","3","4",".262",".322",".577",".899","15","12","-0.068","0.69","0.000","-0.068","-0.7","","",""
"Eric Thames  LF","4","0","0","0","0","2","4",".260",".307",".404",".711","16","11","-0.090","0.88","0.000","-0.090","-0.8","2","0",""
"Rajai Davis  LF","0","0","0","0","0","0","0",".188",".278",".313",".590","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Brett Lawrie  3B","3","0","0","0","0","0","3",".290",".333",".405",".738","10","8","-0.050","0.68","0.000","-0.050","-0.4","0","3",""
"Colby Rasmus  CF","3","1","2","0","0","0","3",".233",".297",".388",".685","13","7","0.060","0.68","0.072","-0.012","0.5","2","0","2B"
"Adam Lind  1B","3","0","1","1","0","1","3",".191",".276",".327",".604","13","9","0.072","1.39","0.132","-0.060","0.3","12","0",""
"Jeff Mathis  C","3","0","0","0","0","2","3",".217",".357",".565",".922","11","7","-0.079","1.03","0.000","-0.079","-0.7","7","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Drew Hutchison  P","","","","","","","","","","","","","","","","","","","0","1",""
"Francisco Cordero  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
"Luis Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Janssen  P","","","","","","","","","","","","","","","","","","","0","0",""
