"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Yunel Escobar  SS","5","0","1","0","0","1","5",".256",".302",".347",".649","27","17","-0.136","1.66","0.036","-0.172","-0.5","3","4",""
"Kelly Johnson  2B","5","0","0","0","0","3","5",".230",".317",".370",".687","18","13","-0.218","1.76","0.000","-0.218","-1.2","2","1",""
"Edwin Encarnacion  1B","5","1","2","0","0","0","5",".290",".387",".565",".951","18","11","0.425","2.29","0.548","-0.123","1.2","7","1","2·SB"
"David Cooper  DH","5","1","1","1","0","0","5",".282",".322",".459",".781","15","10","0.216","1.78","0.358","-0.142","0.1","","","HR"
"Rajai Davis  LF","4","1","1","0","1","0","5",".261",".313",".412",".726","24","15","0.004","1.96","0.113","-0.109","0.3","2","0","2·SB"
"Yan Gomes  C","2","0","0","0","1","0","3",".177",".239",".371",".610","17","8","-0.067","1.32","0.049","-0.116","-0.7","8","0",""
"Jeff Mathis  PH-C","2","0","0","0","0","1","2",".234",".271",".468",".740","10","7","-0.134","2.94","0.000","-0.134","-0.6","2","0",""
"Moises Sierra  RF","5","0","3","1","0","1","5",".444",".444",".556","1.000","16","11","0.051","1.75","0.182","-0.131","0.6","3","0","2B"
"Anthony Gose  CF","4","0","2","0","0","0","5",".205",".255",".250",".505","17","11","-0.133","1.52","0.000","-0.133","-1.2","5","0","2B,SH"
"Adeiny Hechavarria  3B","3","0","0","0","1","2","4",".000",".250",".000",".250","21","11","-0.080","1.83","0.022","-0.101","-0.4","0","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Ricky Romero  P","","","","","","","","","","","","","","","","","","","1","1",""
"Steve Delabar  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Janssen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jesse Chavez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren Oliver  P","","","","","","","","","","","","","","","","","","","0","0",""
