"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alex Gordon  LF","3","0","1","0","1","0","4",".274",".365",".413",".777","15","9","0.057","0.71","0.083","-0.026","0.4","1","0","2B"
"Alcides Escobar  SS","4","0","0","0","0","2","4",".307",".350",".410",".760","14","11","-0.125","1.14","0.000","-0.125","-1.3","0","2",""
"Eric Hosmer  1B","4","0","1","0","0","2","4",".231",".299",".371",".670","22","13","-0.039","0.69","0.020","-0.059","-0.3","10","0",""
"Billy Butler  DH","4","0","0","0","0","0","4",".290",".361",".487",".848","19","14","-0.063","0.62","0.000","-0.063","-1.0","","",""
"Yuniesky Betancourt  2B","4","0","1","0","0","1","4",".242",".277",".424",".701","21","15","-0.022","0.50","0.016","-0.038","-0.6","0","4",""
"Mike Moustakas  3B","4","0","0","0","0","2","4",".268",".327",".490",".817","19","14","-0.055","0.50","0.000","-0.055","-0.8","0","1",""
"Jeff Francoeur  RF","3","0","1","0","0","1","3",".251",".289",".378",".667","13","10","0.027","0.64","0.048","-0.021","0.0","0","0",""
"Salvador Perez  C","3","1","1","1","0","0","3",".383",".383",".702","1.085","11","7","0.050","1.03","0.100","-0.050","0.5","9","3","HR"
"Jarrod Dyson  CF","3","0","0","0","0","1","3",".245",".304",".303",".607","8","6","-0.066","0.88","0.000","-0.066","-0.7","3","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Everett Teaford  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tim Collins  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kelvin Herrera  P","","","","","","","","","","","","","","","","","","","1","0",""
"Greg Holland  P","","","","","","","","","","","","","","","","","","","0","0",""
