"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Rajai Davis  RF","5","0","1","0","0","1","5",".267",".342",".406",".748","26","18","-0.077","1.00","0.023","-0.100","-0.7","0","0",""
"Ian Kinsler  2B","5","1","1","0","0","2","5",".280",".352",".366",".718","17","13","-0.038","0.69","0.031","-0.068","-0.7","1","6","2B"
"Miguel Cabrera  1B","4","1","0","0","1","3","5",".333",".436",".591","1.027","26","16","-0.045","0.77","0.012","-0.057","-0.6","10","0","IW"
"Yoenis Cespedes  LF","3","1","2","3","1","1","4",".297",".332",".500",".832","28","17","0.324","1.42","0.414","-0.090","2.5","5","0","HR,CS"
"J.D. Martinez  DH","4","0","0","0","0","1","4",".254",".321",".458",".779","17","11","-0.091","0.98","0.000","-0.091","-1.0","","",""
"Nick Castellanos  3B","3","0","2","0","1","1","4",".244",".294",".390",".684","16","9","0.077","0.83","0.088","-0.010","0.7","0","1",""
"Andrew Romine  PR-3B","0","0","0","0","0","0","0",".361",".410",".361",".771","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Bryan Holaday  C","4","0","1","0","0","1","4",".294",".294",".588",".882","16","12","-0.043","0.96","0.024","-0.067","-0.6","6","0",""
"Dixon Machado  SS","3","0","1","0","1","1","4",".143",".250",".143",".393","12","6","-0.030","1.16","0.038","-0.068","-0.2","2","4",""
"Anthony Gose  CF","3","0","1","0","1","1","4",".338",".377",".472",".849","15","8","-0.077","1.41","0.064","-0.141","-0.8","2","0","CS"
"","","","","","","","","","","","","","","","","","","","","",""
"Alex Wilson  P","","","","","","","","","","","","","","","","","","","0","2",""
"Kyle Ryan  P","","","","","","","","","","","","","","","","","","","0","0",""
"Al Alburquerque  P","","","","","","","","","","","","","","","","","","","0","0",""
"Blaine Hardy  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joba Chamberlain  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joakim Soria  P","","","","","","","","","","","","","","","","","","","0","0",""
