"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Anthony Gose  CF","5","1","1","0","0","0","5",".322",".360",".447",".808","26","18","-0.041","0.77","0.027","-0.068","-0.3","3","0",""
"Ian Kinsler  2B","5","1","1","1","0","1","5",".270",".347",".367",".714","17","14","-0.098","0.63","0.007","-0.105","-1.0","0","4","HR,GDP"
"Miguel Cabrera  1B","5","0","2","1","0","0","5",".333",".440",".583","1.023","13","9","-0.009","0.36","0.028","-0.037","0.5","10","1","2B"
"Yoenis Cespedes  LF","4","2","2","1","0","0","4",".289",".322",".495",".817","15","11","0.084","0.56","0.113","-0.028","0.7","1","0","HR"
"J.D. Martinez  RF","4","2","3","0","0","0","4",".266",".332",".468",".800","11","7","0.133","0.58","0.142","-0.009","1.9","2","0","2·2B"
"Tyler Collins  DH","4","0","1","1","0","1","4",".263",".333",".263",".596","18","13","-0.035","0.83","0.049","-0.084","0.2","","","SB"
"James McCann  C","3","0","1","1","0","1","4",".286",".324",".419",".743","14","9","0.000","0.99","0.077","-0.078","0.4","6","0","2B,HBP"
"Nick Castellanos  3B","3","0","0","1","0","1","4",".230",".276",".366",".643","10","8","-0.108","1.21","0.000","-0.108","-0.9","1","0","SF"
"Jose Iglesias  SS","4","0","2","0","0","0","4",".338",".393",".429",".822","12","9","0.006","0.59","0.042","-0.036","0.2","0","5",""
"","","","","","","","","","","","","","","","","","","","","",""
"Shane Greene  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Wilson  P","","","","","","","","","","","","","","","","","","","1","0",""
"Blaine Hardy  P","","","","","","","","","","","","","","","","","","","0","0",""
"Al Alburquerque  P","","","","","","","","","","","","","","","","","","","0","0",""
