"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","4","1","2","1","0","0","4",".282",".314",".424",".739","17","11","0.231","1.27","0.249","-0.019","1.5","1","0","HR,SB"
"Andrew Romine  2B-P","1","0","0","0","0","0","1",".215",".268",".272",".540","5","2","0.000","0.00","0.000","0.000","-0.2","0","0",""
"Torii Hunter  RF","4","1","1","0","0","1","4",".269",".306",".441",".747","19","11","-0.070","0.83","0.019","-0.089","-0.3","0","0",""
"Ezequiel Carrera  CF","1","1","1","0","0","0","1",".212",".257",".333",".590","2","2","0.000","0.00","0.000","0.000","0.3","1","0",""
"Miguel Cabrera  1B","3","1","2","0","1","0","4",".311",".378",".507",".885","19","10","0.064","0.95","0.078","-0.014","1.0","6","1","IW"
"Don Kelly  1B-2B","1","0","1","0","0","0","1",".250",".324",".289",".613","6","4","0.000","0.00","0.000","0.000","0.7","1","0",""
"Victor Martinez  DH","4","1","2","1","0","0","4",".324",".392",".549",".940","16","7","-0.165","1.35","0.049","-0.215","-0.8","","","GDP"
"Alex Avila  PH-1B","1","0","0","1","0","0","1",".218",".326",".373",".700","2","1","0.000","0.01","0.000","0.000","0.1","0","0",""
"J.D. Martinez  LF-RF","5","1","1","1","0","0","5",".299",".340",".553",".893","22","15","0.084","0.55","0.116","-0.032","0.6","1","0","2B"
"Nick Castellanos  3B","5","0","2","1","0","1","5",".259",".305",".410",".715","18","13","0.022","0.60","0.049","-0.028","0.2","1","1",""
"Eugenio Suarez  SS","5","0","2","0","0","1","5",".245",".317",".370",".687","25","16","0.076","0.68","0.090","-0.014","0.9","0","0",""
"Bryan Holaday  C","4","0","1","1","0","0","5",".239",".280",".274",".554","11","8","0.005","0.91","0.019","-0.014","-0.1","9","0","2B,SF"
"Rajai Davis  CF-LF","4","0","0","0","0","0","4",".283",".321",".407",".728","10","6","-0.127","1.11","0.000","-0.127","-2.0","3","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Robbie Ray  P","","","","","","","","","","","","","","","","","","","0","0",""
"Blaine Hardy  P","","","","","","","","","","","","","","","","","","","0","3",""
"Phil Coke  P","","","","","","","","","","","","","","","","","","","1","0",""
"Jim Johnson  P","","","","","","","","","","","","","","","","","","","0","1",""
"Ian Krol  P","","","","","","","","","","","","","","","","","","","0","0",""
"Al Alburquerque  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joba Chamberlain  P","","","","","","","","","","","","","","","","","","","0","0",""
