"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","1","0","0","1","1","6",".338",".395",".441",".836","20","12","-0.063","1.47","0.034","-0.096","-0.4","2","0","IW"
"Derek Jeter  SS","4","0","1","0","1","0","5",".283",".367",".340",".706","18","8","0.025","1.11","0.095","-0.070","0.0","0","3",""
"Ichiro Suzuki  PR","0","0","0","0","0","0","0",".355",".355",".387",".742","","","-0.099","2.97","0.000","-0.099","-0.4","","","CS"
"Dean Anna  SS","0","1","0","1","1","0","1",".136",".200",".318",".518","8","4","0.324","6.82","0.324","0.000","1.0","0","0",""
"Carlos Beltran  RF","6","0","2","2","0","3","6",".288",".324",".561",".885","19","17","0.001","1.48","0.147","-0.146","1.3","4","0",""
"Alfonso Soriano  DH","5","1","2","1","1","0","6",".275",".324",".493",".817","20","11","0.043","0.99","0.123","-0.080","1.1","","","2B"
"Mark Teixeira  1B","6","0","2","0","0","2","6",".278",".316",".278",".594","20","12","-0.070","1.34","0.062","-0.132","-0.4","10","0",""
"Yangervis Solarte  3B","4","0","0","0","1","0","5",".328",".414",".492",".906","15","6","-0.100","1.81","0.081","-0.182","-1.0","0","3",""
"Brett Gardner  LF","5","1","2","1","0","1","5",".254",".306",".343",".649","22","13","-0.008","1.84","0.154","-0.162","0.3","3","0","2B"
"Brian Roberts  2B","5","0","0","0","0","2","5",".156",".278",".222",".500","19","12","-0.225","1.83","0.000","-0.225","-1.4","3","3",""
"John Ryan Murphy  C","3","0","0","0","0","1","3",".125",".125",".125",".250","7","6","-0.063","0.85","0.000","-0.063","-0.6","8","1",""
"Brian McCann  PH-C","2","1","1","0","0","0","2",".230",".254",".393",".647","5","4","0.030","1.96","0.071","-0.041","0.1","5","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Vidal Nuno  P","","","","","","","","","","","","","","","","","","","0","2",""
"David Phelps  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Thornton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Adam Warren  P","","","","","","","","","","","","","","","","","","","0","0",""
"Shawn Kelley  P","","","","","","","","","","","","","","","","","","","1","0",""
"Preston Claiborne  P","","","","","","","","","","","","","","","","","","","0","0",""
