"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jamey Carroll  2B","5","1","1","0","0","2","5",".243",".330",".286",".617","22","13","-0.186","1.91","0.061","-0.247","-0.9","1","6",""
"Darin Mastroianni  CF","4","0","1","0","1","0","5",".276",".341",".407",".747","24","16","0.016","2.03","0.109","-0.093","-0.1","2","0",""
"Joe Mauer  C","4","0","0","1","1","0","5",".319",".414",".441",".855","24","14","0.027","2.38","0.104","-0.077","-0.4","2","2",""
"Josh Willingham  DH","4","0","0","0","1","0","5",".258",".370",".543",".913","15","9","-0.239","2.29","0.012","-0.251","-1.3","","",""
"Justin Morneau  1B","4","0","1","1","0","0","4",".275",".337",".476",".812","17","11","0.051","1.33","0.123","-0.072","0.7","12","0",""
"Ryan Doumit  LF","4","0","1","0","0","1","4",".290",".337",".485",".821","14","12","-0.064","1.24","0.030","-0.094","-0.6","4","0",""
"Trevor Plouffe  3B","4","0","0","0","0","0","4",".244",".312",".491",".803","9","6","-0.120","1.21","0.000","-0.120","-0.8","1","1",""
"Matt Carson  RF","4","0","3","0","0","0","4",".500",".500",".500","1.000","12","8","0.175","1.39","0.189","-0.014","1.0","1","1",""
"Pedro Florimon  SS","3","1","2","0","0","0","4",".333",".333",".667","1.000","9","7","0.048","2.08","0.114","-0.065","0.3","2","2","3B,SH"
"","","","","","","","","","","","","","","","","","","","","",""
"Scott Diamond  P","","","","","","","","","","","","","","","","","","","0","0",""
"Alex Burnett  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jared Burton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tyler Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Fien  P","","","","","","","","","","","","","","","","","","","0","0",""
