"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Brantley  CF","5","2","1","1","0","0","5",".205",".279",".333",".612","16","9","-0.064","1.22","0.066","-0.130","-0.0","3","0","SB"
"Jason Kipnis  2B","5","1","1","0","0","1","5",".189",".250",".486",".736","22","15","-0.062","1.03","0.040","-0.101","-0.1","0","5",""
"Shin-Soo Choo  RF","5","1","2","2","0","2","5",".243",".391",".297",".689","18","13","0.009","0.92","0.074","-0.065","0.7","2","0",""
"Carlos Santana  C","4","1","1","3","1","1","5",".250",".415",".563",".977","19","10","0.144","0.96","0.193","-0.048","1.7","5","0","HR"
"Travis Hafner  DH","5","1","2","1","0","1","5",".310",".394",".552",".946","19","11","0.096","1.24","0.170","-0.074","0.8","","",""
"Shelley Duncan  LF","2","1","1","0","2","0","4",".333",".514",".593","1.106","20","8","0.114","1.45","0.157","-0.043","0.6","5","0",""
"Aaron Cunningham  LF","1","0","1","0","0","0","1",".200",".273",".200",".473","4","2","0.030","0.61","0.030","0.000","0.4","1","0",""
"Casey Kotchman  1B","5","0","1","0","0","1","5",".216",".275",".405",".680","22","16","-0.063","1.57","0.127","-0.190","-0.7","9","0","2B"
"Jack Hannahan  3B","3","1","1","0","2","1","5",".286",".394",".429",".823","23","12","-0.054","1.50","0.033","-0.087","0.3","0","0","2B"
"Jason Donald  SS","4","1","2","2","0","2","5",".286",".294",".286",".580","16","10","0.189","1.77","0.237","-0.048","1.1","2","2","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Masterson  P","","","","","","","","","","","","","","","","","","","0","1",""
"Nick Hagadone  P","","","","","","","","","","","","","","","","","","","0","0",""
"Rafael Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Vinnie Pestano  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
