"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Trevor Crowe  CF","3","2","1","0","1","1","5",".259",".317",".359",".677","17","8","0.133","0.73","0.151","-0.018","1.1","3","0","2B,HBP"
"Asdrubal Cabrera  SS","5","2","2","2","0","0","5",".273",".314",".361",".675","22","16","0.202","1.18","0.253","-0.051","1.8","2","2","HR,SB"
"Shin-Soo Choo  RF","2","0","0","0","1","0","4",".293",".391",".479",".870","15","5","-0.009","0.97","0.036","-0.045","0.1","1","0","HBP"
"Carlos Santana  C","3","0","1","1","1","0","4",".265",".404",".476",".880","19","9","0.095","1.07","0.119","-0.024","0.8","7","0",""
"Matt LaPorta  1B","4","0","1","0","0","0","4",".249",".317",".376",".693","10","6","-0.097","1.07","0.017","-0.114","-1.5","12","0","2B,GDP"
"Jordan Brown  DH","4","0","0","0","0","2","4",".000",".000",".000",".000","14","9","-0.107","1.00","0.000","-0.107","-1.2","","",""
"Shelley Duncan  LF","4","0","0","0","0","1","4",".257",".341",".468",".809","20","12","-0.071","0.70","0.000","-0.071","-0.8","2","0",""
"Luis Valbuena  3B","3","0","1","0","0","1","3",".164",".262",".239",".501","12","8","-0.010","0.50","0.015","-0.025","-0.2","0","3",""
"Andy Marte  PH-3B","1","0","0","0","0","0","1",".195",".276",".333",".609","10","7","-0.012","0.48","0.000","-0.012","-0.1","0","0",""
"Jason Donald  2B","4","1","1","1","0","1","4",".260",".324",".422",".746","17","11","0.040","0.58","0.094","-0.054","0.4","0","5","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Jeanmar Gomez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Frank Herrmann  P","","","","","","","","","","","","","","","","","","","0","0",""
"Rafael Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","1",""
