"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Asdrubal Cabrera  SS","3","0","0","0","1","0","5",".291",".337",".384",".721","16","9","-0.104","1.63","0.021","-0.125","-0.8","2","4","SH"
"Grady Sizemore  CF","5","1","1","1","0","1","5",".192",".268",".301",".570","17","13","-0.122","1.65","0.078","-0.201","-0.2","1","0","SB"
"Shin-Soo Choo  RF","4","0","2","0","0","0","4",".338",".452",".532",".984","14","7","-0.001","1.08","0.088","-0.090","0.4","0","0","SB,CS"
"Austin Kearns  LF","3","1","1","0","1","1","4",".383",".431",".660","1.091","15","8","0.014","1.29","0.081","-0.067","0.5","2","0","2B"
"Travis Hafner  DH","2","0","0","1","1","1","4",".190",".312",".317",".629","17","9","0.034","1.32","0.083","-0.049","0.6","","","HBP"
"Russell Branyan  1B","3","0","0","0","1","3","4",".250",".318",".400",".718","18","12","-0.084","1.32","0.021","-0.105","-1.0","12","0",""
"Jhonny Peralta  3B","3","0","0","1","0","1","4",".190",".329",".302",".631","12","9","-0.091","1.55","0.014","-0.105","-1.1","0","3","SF"
"Luis Valbuena  2B","4","0","2","0","0","2","4",".196",".328",".353",".681","20","12","0.086","1.13","0.118","-0.032","0.3","2","7",""
"Lou Marson  C","4","1","2","0","0","1","4",".171",".244",".220",".464","15","11","0.001","1.82","0.148","-0.147","0.0","7","0","2B,GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Jake Westbrook  P","","","","","","","","","","","","","","","","","","","0","2",""
"Jamey Wright  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Rafael Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
