"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Brantley  CF","5","0","0","0","0","1","5",".136",".188",".203",".391","17","12","-0.083","0.64","0.000","-0.083","-1.3","2","0",""
"Jayson Nix  2B","5","1","1","1","0","1","5",".220",".304",".470",".774","19","12","0.091","0.38","0.128","-0.036","0.3","1","4","HR"
"Carlos Santana  C","4","2","1","0","1","2","5",".284",".423",".580","1.003","21","11","0.004","0.33","0.034","-0.030","0.5","6","0","2B"
"Travis Hafner  DH","4","1","1","0","0","3","5",".246",".354",".404",".759","21","12","-0.008","0.50","0.039","-0.046","0.0","","","HBP"
"Austin Kearns  RF","5","1","2","1","0","1","5",".268",".356",".410",".766","19","14","-0.042","0.71","0.026","-0.069","1.3","4","0","2B"
"Jhonny Peralta  3B","5","2","3","3","0","1","5",".251",".312",".396",".708","27","17","0.207","0.93","0.223","-0.016","2.7","0","3","HR"
"Matt LaPorta  1B","5","1","3","1","0","0","5",".253",".324",".390",".713","13","11","0.102","0.63","0.119","-0.017","0.7","9","1","2B"
"Shelley Duncan  LF","3","1","1","1","0","1","3",".268",".342",".521",".863","11","7","0.007","0.84","0.076","-0.069","0.2","3","0","HR"
"Trevor Crowe  LF","1","0","0","0","0","0","1",".244",".299",".322",".621","4","3","-0.002","0.09","0.000","-0.002","-0.3","1","0",""
"Jason Donald  SS","3","0","1","1","1","1","4",".280",".335",".434",".769","12","5","-0.014","0.61","0.017","-0.031","0.7","1","1","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Roberto Hernandez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chris Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
"Frank Herrmann  P","","","","","","","","","","","","","","","","","","","0","0",""
