"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alcides Escobar  SS","3","1","1","0","0","1","4",".279",".318",".348",".666","13","9","0.004","0.70","0.046","-0.042","0.2","1","2","HBP"
"Ben Zobrist  LF","3","1","1","2","1","0","4",".272",".355",".480",".835","22","13","0.102","0.99","0.156","-0.054","1.7","2","0","HR"
"Lorenzo Cain  CF","4","0","1","0","0","3","4",".314",".371",".503",".874","21","15","-0.077","1.11","0.017","-0.094","-0.6","0","0",""
"Eric Hosmer  1B","4","0","0","0","0","0","4",".315",".372",".477",".849","16","11","-0.104","1.00","0.000","-0.104","-1.0","10","0",""
"Kendrys Morales  DH","3","0","1","0","1","0","4",".284",".341",".451",".792","17","8","-0.011","0.91","0.045","-0.057","0.0","","",""
"Salvador Perez  C","4","0","0","0","0","2","4",".243",".257",".412",".669","11","10","-0.125","1.13","0.000","-0.125","-1.2","7","1","GDP"
"Alex Rios  RF","3","0","0","0","0","0","3",".241",".275",".309",".584","10","7","-0.052","0.68","0.000","-0.052","-0.4","1","0",""
"Cheslor Cuthbert  3B","3","0","0","0","0","1","3",".240",".269",".360",".629","12","7","-0.066","0.87","0.000","-0.066","-0.6","1","3",""
"Omar Infante  2B","3","0","0","0","0","0","3",".228",".241",".315",".556","9","6","-0.042","0.56","0.000","-0.042","-0.4","2","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Edinson Volquez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Franklin Morales  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ryan Madson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kelvin Herrera  P","","","","","","","","","","","","","","","","","","","0","0",""
"Luke Hochevar  P","","","","","","","","","","","","","","","","","","","0","0",""
