"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"J.B. Shuck  LF","3","0","2","2","0","0","5",".293",".334",".380",".715","18","13","0.133","1.08","0.155","-0.022","0.6","1","0","2B,2·SF"
"Collin Cowgill  LF","0","0","0","0","0","0","0",".222",".245",".364",".609","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Kole Calhoun  RF","3","0","0","1","1","1","5",".300",".370",".550",".920","19","9","-0.011","1.25","0.049","-0.061","-0.6","1","0","SF"
"Mike Trout  DH","4","0","0","1","1","3","5",".328",".423",".572",".995","30","17","-0.061","1.16","0.001","-0.062","-0.4","","",""
"Josh Hamilton  CF","5","1","2","0","0","0","5",".220",".276",".407",".683","8","7","0.071","1.02","0.146","-0.074","0.1","3","0","2B"
"Mark Trumbo  1B","5","1","0","0","0","0","5",".240",".303",".460",".763","10","7","-0.053","0.85","0.047","-0.101","-0.6","4","0",""
"Erick Aybar  SS","5","1","2","1","0","0","5",".288",".319",".388",".706","26","17","0.044","0.71","0.092","-0.048","1.2","2","2","SB"
"Chris Nelson  3B","5","1","1","1","0","1","5",".247",".278",".313",".592","17","12","-0.048","0.57","0.019","-0.068","-0.2","1","1",""
"Chris Iannetta  C","2","2","1","0","3","1","5",".218",".362",".342",".703","31","13","0.133","0.67","0.134","-0.001","1.5","12","1",""
"Grant Green  2B","4","1","2","0","0","2","4",".179",".250",".179",".429","14","10","0.075","1.36","0.149","-0.074","1.3","3","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"C.J. Wilson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Michael Kohn  P","","","","","","","","","","","","","","","","","","","0","0",""
"Buddy Boshers  P","","","","","","","","","","","","","","","","","","","0","0",""
"J.C. Gutierrez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ernesto Frieri  P","","","","","","","","","","","","","","","","","","","0","0",""
